country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
ITALY,25-44,With Children,2,1,Leisure and Holidays,Business,Inflight magazines,Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
BOTSWANA,25-44,Alone,0,1,Meetings and Conference,Mountain Climbing,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
ITALY,45-64,With Spouse and Children,2,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,4,Yes,Higher Cost
ZAMBIA,25-44,Alone,0,1,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
FRANCE,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,5,Yes,High Cost
SOUTH AFRICA,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,7,Yes,Normal Cost
SPAIN,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,3,Yes,Normal Cost
FRANCE,<18,With Spouse and Children,2,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,No,No,No,No,No,No,11,0,Yes,Higher Cost
CONGO,25-44,With Spouse,0,1,Business,Business,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,4,0,Yes,Lower Cost
MALAWI,18-24,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,18,0,No,Low Cost
GERMANY,25-44,With Other Friends/Relatives,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,No,Normal Cost
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,14,6,Yes,High Cost
IRELAND,25-44,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,0,Yes,Higher Cost
SOUTH AFRICA,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,7,Yes,High Cost
UNITED KINGDOM,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,0,6,No,High Cost
AUSTRALIA,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Normal Cost
UNITED KINGDOM,25-44,Alone,0,1,Business,Hunting Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,10,0,No,Normal Cost
UNITED STATES OF AMERICA,18-24,With Other Friends/Relatives,0,2,Scientific and Academic,Hunting Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,No,No,Yes,No,14,0,Yes,Higher Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Yes,Higher Cost
ITALY,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,14,No,High Cost
SPAIN,25-44,With Other Friends/Relatives,5,2,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,0,5,Yes,Higher Cost
UNITED STATES OF AMERICA,65+,With Children,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost
UNITED KINGDOM,18-24,With Other Friends/Relatives,2,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,Yes,Higher Cost
UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,High Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,7,Yes,Normal Cost
BELGIUM,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,High Cost
UNITED KINGDOM,18-24,Alone,1,0,Scientific and Academic,Beach Tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,No,No,No,36,6,Yes,Normal Cost
UNITED KINGDOM,25-44,With Other Friends/Relatives,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,High Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
UGANDA,45-64,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,0,No,Lower Cost
UNITED KINGDOM,25-44,With Other Friends/Relatives,2,2,Leisure and Holidays,Conference Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,No,Yes,Yes,No,13,0,Yes,Normal Cost
UNITED STATES OF AMERICA,45-64,Alone,0,1,Business,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
SWIZERLAND,65+,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,2,0,Yes,Higher Cost
UNITED STATES OF AMERICA,45-64,With Spouse and Children,1,3,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,10,No,Normal Cost
FRANCE,25-44,With Spouse,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,7,0,Yes,Higher Cost
FRANCE,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,Yes,0,5,Yes,Higher Cost
BURUNDI,25-44,Alone,0,1,Meetings and Conference,Mountain Climbing,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,0,No,Low Cost
CANADA,<18,With Other Friends/Relatives,2,0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,2,Yes,Higher Cost
UGANDA,45-64,Alone,0,1,Business,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,4,No,Normal Cost
UGANDA,18-24,Alone,0,1,Leisure and Holidays,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,44,0,No,Lower Cost
ZAMBIA,18-24,Alone,0,1,Other,Hunting Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,No,Lower Cost
AUSTRALIA,25-44,With Spouse,1,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,14,0,Yes,Low Cost
UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,3,Yes,High Cost
GERMANY,45-64,With Spouse and Children,2,3,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,0,Yes,Higher Cost
ITALY,25-44,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,7,Yes,Normal Cost
ZAMBIA,25-44,Alone,0,1,Business,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Yes,Normal Cost
INDIA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Yes,Normal Cost
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,19,0,Yes,Higher Cost
IRELAND,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,0,Yes,Normal Cost
UNITED STATES OF AMERICA,65+,With Other Friends/Relatives,5,0,Volunteering,Cultural Tourism,Others,Package Tour,No,No,No,No,No,Yes,No,25,5,Yes,Higher Cost
SWEDEN,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,12,Yes,High Cost
RWANDA,25-44,With Other Friends/Relatives,1,1,Meetings and Conference,Mountain Climbing,"Friends, relatives",Package Tour,Yes,No,No,Yes,No,No,No,4,0,No,Normal Cost
CANADA,65+,Alone,0,1,Business,Widlife Tourism,Others,Independent,No,No,No,No,No,No,No,1,0,No,Lower Cost
KENYA,25-44,Alone,0,1,Meetings and Conference,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
UNITED STATES OF AMERICA,25-44,With Spouse,1,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,1,No,Lower Cost
SEYCHELLES,25-44,Alone,0,1,Meetings and Conference,Business,Others,Independent,No,No,No,No,No,No,No,14,0,Yes,Normal Cost
KENYA,25-44,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,1,0,No,Lower Cost
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,0,Yes,Higher Cost
UNITED KINGDOM,45-64,With Spouse and Children,1,2,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,No,No,2,6,No,High Cost
UNITED STATES OF AMERICA,45-64,With Other Friends/Relatives,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,18,0,Yes,Higher Cost
UNITED STATES OF AMERICA,65+,With Other Friends/Relatives,2,0,Volunteering,Hunting Tourism,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,25,5,Yes,Higher Cost
UGANDA,18-24,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
KOREA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Yes,Higher Cost
CHINA,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,Normal Cost
DRC,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,No,Normal Cost
UNITED KINGDOM,18-24,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,No,No,16,0,Yes,High Cost
FRANCE,45-64,With Children,2,2,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,0,Yes,Higher Cost
UNITED KINGDOM,45-64,With Other Friends/Relatives,0,1,Leisure and Holidays,Conference Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,0,Yes,Normal Cost
SWEDEN,18-24,With Spouse,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,0,7,Yes,Normal Cost
FRANCE,45-64,With Spouse and Children,1,2,Leisure and Holidays,Wildlife Tourism,Others,Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,4,4,Yes,Higher Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,8,Yes,Higher Cost
SOUTH AFRICA,45-64,Alone,0,1,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost
UGANDA,25-44,With Other Friends/Relatives,0,1,Other,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,6,0,Yes,Lower Cost
ZAMBIA,25-44,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,4,No,Normal Cost
UGANDA,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Normal Cost
SOUTH AFRICA,25-44,With Other Friends/Relatives,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,0,No,Highest Cost
SOUTH AFRICA,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,5,5,Yes,High Cost
GREECE,45-64,With Other Friends/Relatives,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,12,9,No,Lower Cost
SWIZERLAND,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,5,6,Yes,High Cost
UNITED KINGDOM,18-24,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,14,5,Yes,Normal Cost
IRELAND,45-64,Alone,1,0,Scientific and Academic,Hunting Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,3,0,Yes,Low Cost
BELGIUM,45-64,With Spouse and Children,3,2,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,16,4,Yes,Higher Cost
UNITED KINGDOM,25-44,Alone,0,1,Business,Widlife Tourism,Inflight magazines,Independent,No,No,No,No,No,No,No,28,0,Yes,Low Cost
ITALY,25-44,With Spouse,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,9,Yes,Normal Cost
UNITED KINGDOM,18-24,Alone,1,0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,Yes,Normal Cost
CANADA,45-64,With Spouse and Children,2,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,0,Yes,Higher Cost
UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,0,Yes,Higher Cost
FRANCE,18-24,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,No,No,Yes,No,13,0,Yes,High Cost
KENYA,25-44,Alone,1,0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Lower Cost
RWANDA,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,0,3,Yes,Low Cost
MALAWI,45-64,Alone,0,1,Meetings and Conference,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,No,Normal Cost
UNITED KINGDOM,18-24,With Other Friends/Relatives,1,1,Leisure and Holidays,Business,"Friends, relatives",Independent,No,No,No,No,No,No,No,33,0,Yes,Normal Cost
SOUTH AFRICA,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,No,Yes,No,0,12,No,Normal Cost
UNITED KINGDOM,18-24,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,12,5,Yes,Higher Cost
BURUNDI,25-44,With Children,2,0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Yes,Lower Cost
FRANCE,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,9,6,Yes,Normal Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,10,0,No,Lower Cost
NEW ZEALAND,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,5,0,Yes,Higher Cost
AUSTRALIA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,Yes,7,0,Yes,Higher Cost
ROMANIA,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,6,Yes,Higher Cost
GERMANY,25-44,With Other Friends/Relatives,0,1,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,No,No,Yes,No,10,0,No,Normal Cost
KENYA,25-44,Alone,0,1,Other,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,21,0,No,High Cost
CANADA,18-24,With Other Friends/Relatives,1,2,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Low Cost
NEW ZEALAND,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,3,Yes,Higher Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,16,0,Yes,Higher Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,0,Yes,Normal Cost
ZAMBIA,25-44,With Other Friends/Relatives,0,2,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost
UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,3,3,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,No,Yes,Yes,5,0,Yes,Higher Cost
ZAMBIA,18-24,Alone,0,1,Business,Business,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,No,No,12,0,No,Normal Cost
DENMARK,18-24,With Other Friends/Relatives,2,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,10,Yes,Lower Cost
UNITED KINGDOM,18-24,Alone,0,1,Leisure and Holidays,Widlife Tourism,Tanzania Mission Abroad,Package Tour,No,No,No,No,No,No,No,15,4,Yes,High Cost
CANADA,45-64,Alone,0,1,Leisure and Holidays,Conference Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,17,0,Yes,Higher Cost
UNITED STATES OF AMERICA,18-24,With Other Friends/Relatives,0,2,Leisure and Holidays,Conference Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,Yes,Yes,No,No,12,0,Yes,Higher Cost
KENYA,45-64,Alone,0,1,Meetings and Conference,Conference Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Yes,Lower Cost
UNITED KINGDOM,18-24,With Other Friends/Relatives,2,0,Leisure and Holidays,Wildlife Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,No,No,14,0,Yes,High Cost
GERMANY,25-44,With Other Friends/Relatives,3,2,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,No,Yes,No,15,0,Yes,High Cost
ITALY,25-44,With Other Friends/Relatives,1,2,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,4,Yes,Normal Cost
AUSTRALIA,65+,Alone,0,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Higher Cost
SPAIN,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,Yes,10,7,Yes,High Cost
SOUTH AFRICA,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,14,Yes,Normal Cost
SPAIN,45-64,With Spouse and Children,1,4,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,0,3,Yes,Normal Cost
UNITED KINGDOM,45-64,With Spouse and Children,2,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,3,Yes,Higher Cost
UAE,45-64,With Other Friends/Relatives,2,2,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,Yes,High Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,4,4,Yes,Higher Cost
AUSTRALIA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,3,Yes,Higher Cost
CANADA,25-44,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,14,0,Yes,High Cost
BELGIUM,45-64,With Spouse and Children,2,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,14,Yes,Higher Cost
SPAIN,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,3,Yes,Normal Cost
UNITED KINGDOM,45-64,Alone,0,1,Business,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,16,0,No,Normal Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,0,7,Yes,High Cost
SOUTH AFRICA,25-44,Alone,0,1,Business,Mountain Climbing,Others,Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
SOUTH AFRICA,45-64,With Other Friends/Relatives,2,0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,0,8,Yes,Higher Cost
UNITED KINGDOM,45-64,With Spouse and Children,2,3,Leisure and Holidays,Wildlife Tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,6,6,Yes,Higher Cost
UNITED STATES OF AMERICA,18-24,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,No,Normal Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,7,6,Yes,Higher Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,No,No,No,No,0,6,Yes,High Cost
AUSTRALIA,45-64,With Other Friends/Relatives,0,1,Volunteering,Widlife Tourism,Others,Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,11,0,Yes,High Cost
GREECE,25-44,With Spouse,2,0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,High Cost
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Yes,High Cost
UGANDA,25-44,Alone,0,1,Visiting Friends and Relatives,Bird Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,20,0,No,Low Cost
ITALY,45-64,With Spouse and Children,1,2,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,Higher Cost
ZIMBABWE,25-44,Alone,0,1,Other,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
CHINA,18-24,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,5,3,Yes,Normal Cost
NETHERLANDS,25-44,With Other Friends/Relatives,1,3,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,Yes,6,0,Yes,Higher Cost
UNITED STATES OF AMERICA,65+,With Other Friends/Relatives,2,3,Leisure and Holidays,Conference Tourism,Trade fair,Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,7,3,Yes,Higher Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,0,No,Higher Cost
SPAIN,25-44,Alone,0,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,4,0,Yes,Low Cost
UNITED STATES OF AMERICA,18-24,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,0,Yes,High Cost
AUSTRALIA,65+,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,0,Yes,Normal Cost
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,8,0,Yes,Normal Cost
GERMANY,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,No,Yes,Yes,No,3,0,Yes,Higher Cost
