age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_people,country_new,cost_category
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Cash,Yes,2,PORTUGAL,3
45~64,Children,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,0,Cash,Yes,2,UNITED STATES OF AMERICA,3
25~44,Friends/Relatives,0,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,1,Cash,Yes,2,INDIA,1
25~44,Friends/Relatives,1,4,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,No,No,No,5,0,Cash,Yes,5,INDIA,2
25~44,Alone,0,1,Meetings and Conference,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,0,Cash,No,1,KENYA,1
25~44,Blank,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,11,0,Credit Card,No,1,UNITED STATES OF AMERICA,2
65+,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,12,0,Cash,No,2,UNITED STATES OF AMERICA,2
25~44,Friends/Relatives,1,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Cash,No,2,UGANDA,1
45~64,Blank,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,Cash,Yes,1,UGANDA,1
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,1,6,Cash,Yes,2,ITALY,2
25~44,Blank,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,Yes,1,BURUNDI,1
45~64,Blank,0,1,Visiting Friends and Relatives,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,7,0,Cash,No,1,UGANDA,1
45~64,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Cash,No,1,ZAMBIA,1
25~44,Friends/Relatives,2,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Cash,No,3,BURUNDI,1
25~44,Blank,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Cash,No,1,BURUNDI,3
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,12,0,Cash,Yes,2,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Volunteering,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,4,Cash,Yes,2,SPAIN,3
1~24,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,22,0,Cash,Yes,1,UNITED KINGDOM,1
1~24,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,No,No,14,0,Cash,Yes,2,UNITED KINGDOM,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,2,Cash,No,2,UGANDA,2
25~44,Blank,1,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Independent,No,Yes,Yes,Yes,No,No,No,14,0,Cash,Yes,1,GERMANY,2
45~64,Spouse,1,1,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,11,0,Cash,No,2,UNITED STATES OF AMERICA,2
45~64,Friends/Relatives,1,2,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,Cash,No,3,SWEDEN,2
45~64,Spouse and Children,1,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,0,Cash,No,4,FRANCE,4
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Cash,Yes,2,SPAIN,4
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,Yes,5,0,Cash,Yes,2,GERMANY,3
25~44,Blank,1,0,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,13,5,Cash,Yes,1,ITALY,2
65+,Friends/Relatives,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,0,Credit Card,No,3,AUSTRALIA,3
45~64,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,No,No,Yes,No,7,0,Cash,Yes,1,CANADA,3
25~44,Blank,0,1,Leisure and Holidays,Conference tourism,others,Package Tour,Yes,No,Yes,Yes,Yes,Yes,No,10,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Friends/Relatives,0,4,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10,0,Cash,Yes,4,UNITED STATES OF AMERICA,3
1~24,Friends/Relatives,0,2,Leisure and Holidays,Conference tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,No,No,No,10,0,Cash,Yes,2,RUSSIA,3
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,0,Cash,Yes,2,UNITED STATES OF AMERICA,3
25~44,Spouse and Children,2,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,16,Credit Card,No,3,O-AF,2
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,13,0,Credit Card,Yes,2,UNITED STATES OF AMERICA,4
25~44,Blank,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,Cash,Yes,1,MALAYSIA,2
25~44,Spouse and Children,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,9,0,Cash,Yes,3,UNITED STATES OF AMERICA,2
1~24,Blank,1,0,Volunteering,Wildlife tourism,"Friends, relatives",Package Tour,No,Yes,Yes,No,No,No,No,14,0,Cash,Yes,1,UNITED KINGDOM,2
1~24,Blank,0,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,32,3,Cash,Yes,1,NETHERLANDS,2
65+,Spouse,1,1,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,No,No,No,7,3,Cash,Yes,2,NORWAY,2
1~24,Friends/Relatives,2,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,10,7,Credit Card,No,3,CZECH REPUBLIC,4
25~44,Blank,0,1,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,No,No,7,0,Cash,Yes,1,CANADA,2
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,14,0,Cash,Yes,2,UNITED STATES OF AMERICA,3
25~44,Spouse,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,7,Cash,Yes,1,SWEDEN,3
65+,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,5,Cash,Yes,2,UNITED STATES OF AMERICA,4
45~64,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,10,0,Cash,Yes,1,ITALY,2
45~64,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,0,Cash,No,3,UNITED STATES OF AMERICA,3
45~64,Blank,1,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,12,0,Cash,Yes,2,UNITED STATES OF AMERICA,2
65+,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Cash,Yes,1,CANADA,3
1~24,Blank,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,14,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,4
45~64,Alone,1,0,Leisure and Holidays,Wildlife tourism,others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,0,Credit Card,No,1,UNITED STATES OF AMERICA,4
1~24,Friends/Relatives,7,3,Scientific and Academic,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,14,0,Cash,Yes,10,UNITED STATES OF AMERICA,4
45~64,Friends/Relatives,3,2,Leisure and Holidays,Cultural tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,0,Cash,No,5,UNITED STATES OF AMERICA,4
25~44,Blank,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Cash,Yes,1,UNITED STATES OF AMERICA,1
45~64,Blank,0,1,Business,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,No,No,No,27,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Friends/Relatives,1,4,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10,0,Cash,Yes,5,UNITED KINGDOM,3
25~44,Blank,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,7,0,Cash,Yes,2,UNITED KINGDOM,2
45~64,Children,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,3,0,Cash,No,2,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Cash,Yes,2,IRELAND,4
25~44,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,4,0,Cash,No,1,O-LAC,2
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Cash,Yes,2,O-HIC,3
25~44,Friends/Relatives,2,0,Business,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,30,0,Cash,No,2,O-ASIA,2
25~44,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,3,Cash,Yes,3,SWIZERLAND,3
1~24,Blank,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,69,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,24,4,Cash,No,2,NETHERLANDS,2
45~64,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,0,Cash,Yes,1,CANADA,3
25~44,Alone,0,1,Volunteering,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,20,0,Cash,Yes,1,FRANCE,2
1~24,Blank,1,0,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,4,Cash,Yes,1,GERMANY,1
25~44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,16,0,Cash,Yes,2,FRANCE,3
65+,Blank,0,1,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,No,No,No,13,0,Credit Card,No,1,SOUTH AFRICA,2
1~24,Friends/Relatives,2,0,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,36,6,Cash,Yes,2,CANADA,2
25~44,Friends/Relatives,5,3,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13,0,Cash,No,8,UNITED STATES OF AMERICA,1
45~64,Children,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,6,Cash,Yes,2,UNITED KINGDOM,3
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,19,Cash,No,2,ITALY,2
25~44,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,0,Credit Card,Yes,2,NETHERLANDS,3
45~64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10,0,Cash,Yes,4,CANADA,2
45~64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,0,Cash,Yes,1,GERMANY,3
25~44,Alone,1,0,Scientific and Academic,Conference tourism,others,Independent,No,No,No,No,No,No,No,20,0,Cash,No,1,UNITED KINGDOM,1
45~64,Children,2,0,Leisure and Holidays,Diving and Sport Fishing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,9,0,Cash,Yes,2,SPAIN,2
45~64,Alone,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,19,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
45~64,Blank,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Cash,No,1,INDIA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,11,0,Credit Card,Yes,2,SINGAPORE,3
65+,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,4,Cash,Yes,2,UNITED STATES OF AMERICA,3
1~24,Blank,0,4,Leisure and Holidays,Conference tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,0,Cash,Yes,4,UNITED STATES OF AMERICA,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,2,Cash,Yes,2,UNITED KINGDOM,2
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Credit Card,Yes,2,UNITED STATES OF AMERICA,2
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,14,0,Credit Card,Yes,2,FRANCE,4
25~44,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,12,7,Cash,Yes,4,NETHERLANDS,2
25~44,Friends/Relatives,1,2,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,12,0,Cash,Yes,3,O-EEU,2
25~44,Friends/Relatives,1,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,3,Cash,Yes,3,FRANCE,2
25~44,Alone,1,0,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,6,3,Cash,No,1,UNITED STATES OF AMERICA,3
45~64,Alone,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,13,0,Cash,Yes,1,UNITED KINGDOM,3
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,0,Cash,Yes,2,AUSTRALIA,4
45~64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,7,0,Cash,Yes,1,FRANCE,3
25~44,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,0,Cash,No,1,POLAND,3
1~24,Friends/Relatives,2,0,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,No,No,25,2,Cash,Yes,2,UNITED KINGDOM,2
45~64,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Cash,Yes,1,AUSTRALIA,4
25~44,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,5,0,Cash,Yes,2,UNITED STATES OF AMERICA,3
45~64,Spouse,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,No,No,16,0,Cash,Yes,1,UNITED STATES OF AMERICA,3
25~44,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,0,Cash,Yes,1,UNITED STATES OF AMERICA,3
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,12,0,Credit Card,Yes,2,UNITED STATES OF AMERICA,3
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,0,Cash,Yes,2,UNITED STATES OF AMERICA,4
45~64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,7,0,Cash,Yes,4,NETHERLANDS,3
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Cash,No,2,ITALY,2
1~24,Friends/Relatives,0,2,Scientific and Academic,Hunting tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,No,No,Yes,No,14,0,Credit Card,Yes,2,UNITED STATES OF AMERICA,3
25~44,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
45~64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,1,6,Credit Card,No,2,UNITED STATES OF AMERICA,3
25~44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,4,15,Cash,Yes,2,ITALY,2
25~44,Alone,0,1,Leisure and Holidays,Conference tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,Yes,Yes,No,Yes,No,9,0,Cash,Yes,1,GERMANY,2
25~44,Friends/Relatives,1,1,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,0,Cash,Yes,2,AUSTRALIA,2
45~64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,9,0,Cash,No,2,ITALY,3
1~24,Friends/Relatives,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,0,Credit Card,No,4,NETHERLANDS,4
45~64,Spouse and Children,1,3,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13,0,Credit Card,Yes,4,CANADA,4
25~44,Friends/Relatives,4,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Cash,Yes,6,FRANCE,2
25~44,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,6,0,Cash,Yes,2,UNITED STATES OF AMERICA,2
65+,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,0,Cash,Yes,1,UNITED STATES OF AMERICA,4
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,5,Cash,Yes,2,IRELAND,3
25~44,Alone,1,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,23,0,Cash,Yes,1,AUSTRALIA,2
1~24,Alone,1,0,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,0,Cash,No,1,DENMARK,1
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,0,Cash,Yes,2,CANADA,2
45~64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,14,0,Cash,Yes,4,UNITED STATES OF AMERICA,4
65+,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,3
25~44,Blank,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,3,Cash,No,1,UNITED STATES OF AMERICA,2
25~44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,Cash,No,1,UNITED STATES OF AMERICA,2
45~64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,21,0,Cash,Yes,2,UNITED STATES OF AMERICA,4
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,0,Credit Card,Yes,2,UNITED STATES OF AMERICA,3
1~24,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,13,0,Cash,Yes,1,UNITED STATES OF AMERICA,2
45~64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Cash,Yes,2,ITALY,1
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,0,Cash,Yes,2,UNITED STATES OF AMERICA,4
45~64,Blank,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,0,Credit Card,Yes,1,UNITED STATES OF AMERICA,3
45~64,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Credit Card,No,1,CANADA,2
45~64,Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,7,0,Cash,Yes,4,NETHERLANDS,2
45~64,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,0,Cash,Yes,5,GERMANY,4
45~64,Blank,0,1,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,24,24,Cash,No,1,UNITED KINGDOM,2
45~64,Spouse and Children,1,3,Leisure and Holidays,Wildlife tourism,Trade fair,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Cash,Yes,4,ITALY,3
45~64,Children,1,2,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,14,0,Cash,No,3,ITALY,3
25~44,Friends/Relatives,7,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,6,0,Cash,Yes,7,UNITED STATES OF AMERICA,2
1~24,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,9,3,Cash,Yes,2,ITALY,3
65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,13,0,Cash,Yes,2,UNITED STATES OF AMERICA,3
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,4,Credit Card,Yes,2,NETHERLANDS,3
1~24,Blank,1,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,30,0,Cash,Yes,1,UNITED KINGDOM,1
25~44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,No,Yes,No,Yes,No,9,0,Cash,Yes,2,CANADA,3
1~24,Blank,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,24,0,Cash,Yes,1,UNITED KINGDOM,1
